"FVH","sexo","edad","horas_tnr","ingreso_mensual","nivel_pobreza","etnia","afrod","discapacidad","zona","entidad","region","escolaridad","est_dis","upm","factor"
"10003580415","Hombre",12,4,4262,"Pobreza por Ingresos","No","No","No","Urbana","Aguascalientes","Centro","Primaria",2,35,207
"10003580612","Mujer",49,29,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,35,207
"10003580613","Mujer",16,7,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,35,207
"10003580614","Hombre",13,14,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,35,207
"10003600114","Mujer",58,50,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",2,36,208
"10003600511","Hombre",44,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,36,208
"10003600513","Hombre",18,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,36,208
"10003600514","Hombre",15,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,36,208
"10003730412","Mujer",62,25,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",2,37,198
"10003730413","Mujer",15,15,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,37,198
"10003730512","Mujer",17,10,245,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,37,198
"10003730513","Hombre",12,7,245,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,37,198
"10003730611","Mujer",46,3,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,37,198
"10003730613","Mujer",22,8,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,37,198
"10003730614","Mujer",18,17,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,37,198
"10003850112","Mujer",30,21,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",2,38,177
"10003850314","Mujer",25,20,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,38,177
"10003850411","Mujer",28,12,0,"Pobreza por Ingresos Extrema","Si","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,38,177
"10003850513","Mujer",63,35,0,"Pobreza por Ingresos Extrema","Si","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,38,177
"10003970112","Mujer",53,22,0,"Pobreza por Ingresos Extrema","Si","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,39,208
"10003970312","Hombre",76,0,8262,"No Pobreza","No","No","Si","Urbana","Aguascalientes","Centro","Primaria",2,39,208
"10003970412","Mujer",50,40,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,39,208
"10003970611","Mujer",48,70,0,"Pobreza por Ingresos Extrema","Si","No","No","Urbana","Aguascalientes","Centro","Primaria",2,39,208
"10003970615","Hombre",18,0,0,"Pobreza por Ingresos Extrema","Si","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,39,208
"10004090412","Mujer",40,14,1435,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,40,195
"10004090414","Hombre",16,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,40,195
"10004090512","Mujer",31,60,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,40,195
"10004120212","Mujer",24,30,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,41,194
"10004120311","Mujer",60,85,659,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,41,194
"10004120412","Mujer",33,45,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,41,194
"10004120413","Hombre",13,5,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,41,194
"10004240111","Mujer",53,14,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,42,200
"10004240113","Mujer",13,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,42,200
"10004240411","Hombre",39,2,0,"Pobreza por Ingresos Extrema","Si","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,42,200
"10004240415","Mujer",15,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,42,200
"10004240416","Mujer",13,30,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,42,200
"10004240511","Mujer",42,28,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,42,200
"10004240513","Mujer",24,3,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,42,200
"10004360113","Mujer",12,7,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",2,43,191
"10004360213","Mujer",20,7,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",2,43,191
"10004360311","Mujer",53,0,3934,"Pobreza por Ingresos","No","No","Si","Urbana","Aguascalientes","Centro","Secundaria",2,43,191
"10004360412","Mujer",46,21,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,43,191
"10004360413","Hombre",27,7,0,"Pobreza por Ingresos Extrema","No","No","Si","Urbana","Aguascalientes","Centro","Licenciatura",2,43,191
"10004360415","Mujer",16,7,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,43,191
"10004360512","Mujer",23,49,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,43,191
"10004360613","Hombre",13,7,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,43,191
"10004480111","Mujer",44,7,7049,"No Pobreza","No","No","Si","Urbana","Aguascalientes","Centro","Secundaria",2,44,180
"10004480112","Mujer",20,30,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",2,44,180
"10004480214","Mujer",18,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,44,180
"10004480215","Mujer",16,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,44,180
"10004480412","Mujer",52,49,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,44,180
"10004480513","Mujer",17,70,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,44,180
"10004480515","Mujer",15,4,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",2,44,180
"10004480516","Hombre",12,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",2,44,180
