folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,antigua_ne,cocina,cocina_dor,cuart_dorm,num_cuarto,lugar_coc,agua_ent,ab_agua,agua_noe,dotac_agua,excusado,uso_compar,sanit_agua,biodigest,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos,focos_ahor,combus,fogon_chi,eli_basura,tenencia,renta,estim_pago,pago_viv,pago_mesp,tipo_adqui,viv_usada,finan_1,finan_2,finan_3,finan_4,finan_5,finan_6,finan_7,finan_8,num_dueno1,hog_dueno1,num_dueno2,hog_dueno2,escrituras,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,calen_lena,medid_luz,bomba_agua,tanque_gas,aire_acond,calefacc,p_grietas,p_pandeos,p_levanta,p_humedad,p_fractura,p_electric,p_tuberias,tot_resid,tot_hom,tot_muj,tot_hog,ubica_geo,tam_loc,est_socio,est_dis,upm,factor,procaptar
0100012005,1,8,10,3,1,,1,2,2,4,1,1,1,,1,1,2,1,2,1,0,0,1,1,7,7,3,,3,1,4000, , ,1,,,,,,,,,,,,,,,,1,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,5,1,4,1,01001,1,3,001,0000012,191,0
0100012006,1,8,10,3,18,,1,2,2,4,1,1,1,,1,1,2,1,2,1,0,0,1,1,7,7,3,,3,4, ,3000, ,,1,1,,2,,,,,,,02,1,,,3,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,01001,1,3,001,0000012,191,0
0100013801,1,8,10,3,1,,1,2,2,3,1,1,1,,2,1,2,1,2,1,0,0,1,1,7,7,3,,3,1,2500, , ,1,,,,,,,,,,,,,,,,1,2,1,1,2,2,2,1,2,1,2,1,2,2,1,1,2,1,2,2,2,2,1,1,1,01001,1,4,003,0000013,183,0
0100013803,1,8,10,3,11,,1,2,3,4,1,1,1,,1,1,2,1,2,1,1,0,1,1,15,15,3,,3,3, ,6000,4500,1,1,2,,2,,,,,,,01,1,,,1,2,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,5,3,2,1,01001,1,4,003,0000013,183,0
0100013804,1,8,10,3,30,,1,2,3,4,1,1,1,,2,1,2,1,2,1,0,0,1,1,15,15,3,,3,1,2000, , ,1,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,4,3,1,1,01001,1,4,003,0000013,183,0
0100013805,1,8,10,3,14,,1,2,2,3,1,1,1,,1,1,2,1,2,1,1,0,1,1,10,10,3,,3,3, ,4000,7000,1,1,2,,,,,5,,,,01,1,,,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,01001,1,4,003,0000013,183,0
0100013806,1,8,10,2,1,,1,2,1,2,1,1,1,,1,1,2,1,2,1,1,0,1,1,12,5,3,,3,2, ,2500, ,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,1,1,01001,1,4,003,0000013,183,0
0100014201,1,8,10,3,25,,1,2,2,4,1,1,1,,2,1,2,1,2,1,0,0,1,1,7,4,3,,3,1,900, , ,1,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,01001,1,2,002,0000014,203,0
0100014202,1,8,10,3,25,,1,2,2,4,1,1,1,,2,1,2,1,2,1,0,0,1,1,8,8,3,,3,3, ,3000,1600,1,1,1,1,,,,,,,,02,1,,,3,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,4,1,3,1,01001,1,2,002,0000014,203,0
0100014203,1,8,10,3,27,,1,2,2,4,1,1,1,,2,1,2,1,2,1,0,0,1,1,6,6,3,,3,3, ,2000,1550,1,1,2,1,,,,,,,,01,1,,,3,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,4,3,1,1,01001,1,2,002,0000014,203,0
0100014204,1,8,10,3,20,,1,2,2,4,1,1,1,,1,1,2,1,2,1,0,0,1,1,4,4,3,,3,2, ,1200, ,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,0,1,01001,1,2,002,0000014,203,0
0100014205,1,8,10,2,30,,1,2,3,5,1,1,1,,2,1,2,1,2,1,0,0,1,1,6,0,3,,3,4, ,4000, ,,1,2,1,,,,,,,,01,1,,,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,4,2,2,1,01001,1,2,002,0000014,203,0
0100014206,1,8,10,3,20,,1,2,2,3,1,1,1,,2,1,2,1,2,1,0,0,1,1,6,4,3,,3,3, ,2550,1550,1,1,1,1,,,,,,,,01,1,,,3,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,5,1,4,1,01001,1,2,002,0000014,203,0
